Episode,Reward,Steps,Completed,Deadlock
838,-471.80000000000234,500,False,False
839,105.55000000000001,14,True,False
840,90.94999999999999,33,True,False
841,-481.55000000000234,500,False,False
842,97.55,18,True,False
843,109.75,8,True,False
844,-462.0500000000022,500,False,False
845,83.05,35,True,False
846,99.75,13,True,False
847,-106.55000000000001,44,False,True
848,105.25,20,True,False
849,-456.2000000000026,500,False,False
850,-401.6000000000021,500,False,False
851,103.75,11,True,False
852,109.55,12,True,False
853,97.35,22,True,False
854,101.55,16,True,False
855,65.95000000000003,65,True,False
856,97.75,14,True,False
857,109.75,8,True,False
858,81.15,34,True,False
859,-399.650000000002,500,False,False
860,113.75,6,True,False
861,-405.50000000000193,500,False,False
862,101.35000000000001,20,True,False
863,107.35000000000001,17,True,False
864,-446.4500000000018,500,False,False
865,-479.60000000000224,500,False,False
866,-460.1000000000025,500,False,False
867,-436.7000000000023,500,False,False
868,-467.9000000000019,500,False,False
869,-100.25,35,False,True
870,52.350000000000065,64,True,False
871,97.55000000000001,18,True,False
872,101.35000000000001,20,True,False
873,-401.6000000000022,500,False,False
874,111.55,11,True,False
875,-465.95000000000203,500,False,False
876,99.15,25,True,False
877,97.05,28,True,False
878,-452.30000000000194,500,False,False
879,26.250000000000142,118,True,False
880,103.55,15,True,False
881,-444.50000000000256,500,False,False
882,-491.30000000000194,500,False,False
883,101.15,24,True,False
884,97.05,28,True,False
885,-464.0000000000019,500,False,False
886,-444.50000000000233,500,False,False
887,109.55000000000001,12,True,False
888,99.65,15,True,False
889,107.35000000000001,17,True,False
890,103.55,15,True,False
891,-93.45,16,False,True
892,93.05,30,True,False
893,101.55,16,True,False
894,-462.05000000000234,500,False,False
895,109.25,18,True,False
896,113.75,6,True,False
897,-452.30000000000217,500,False,False
898,35.75000000000006,84,True,False
899,87.44999999999999,25,True,False
900,87.35,27,True,False
901,-177.8499999999999,105,False,True
902,89.05,32,True,False
903,99.65,15,True,False
904,115.75,5,True,False
905,89.25,28,True,False
906,101.35,20,True,False
907,72.95000000000002,42,True,False
908,93.35,24,True,False
909,-144.64999999999998,65,False,True
910,103.65,13,True,False
911,-530.300000000002,500,False,False
912,95.44999999999999,21,True,False
913,95.65,17,True,False
914,105.75,10,True,False
915,87.55,23,True,False
916,95.35,23,True,False
917,-411.3500000000022,500,False,False
918,101.55000000000001,16,True,False
919,101.65,14,True,False
920,103.45,17,True,False
921,-471.80000000000217,500,False,False
922,95.45,21,True,False
923,103.55000000000001,15,True,False
924,-460.10000000000184,500,False,False
925,-438.65000000000214,500,False,False
926,113.65,8,True,False
927,-440.60000000000224,500,False,False
928,105.55,14,True,False
929,91.45,23,True,False
930,109.55,12,True,False
931,-105.65,26,False,True
